發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別(第1當事者)名稱,速限(第1當事者),道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分(類別)大類別名稱(車種),當事者區分(類別)子類別名稱(車種),當事者屬(性)別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話、電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱–最初,車輛撞擊部位子類別名稱–最初,車輛撞擊部位大類別名稱–其他,車輛撞擊部位子類別名稱–其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱(是否肇逃),GPS經度,GPS緯度,unixtime
2022,01,20220101,"24910-11-30 00:00:00",A1,雲林縣警察局,雲林縣虎尾鎮雲145公路路燈290570號,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞號誌、標誌桿,駕駛人,未注意車前狀態,死亡1;受傷0,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.411444,23.686485,723945225600
2022,01,20220101,"24910-11-30 00:00:00",A1,雲林縣警察局,雲林縣虎尾鎮雲145公路路燈290570號,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞號誌、標誌桿,駕駛人,未注意車前狀態,死亡1;受傷0,1,機車,普通重型,男,17,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,駕駛人,未注意車前狀態,否,120.411444,23.686485,723945225600
2022,01,20220101,"62652-11-30 00:00:00",A1,國道公路警察局,"屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側",晴,晨或暮光,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡1;受傷1,3,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.489248,22.733474,1914967756800
2022,01,20220101,"62652-11-30 00:00:00",A1,國道公路警察局,"屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側",晴,晨或暮光,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡1;受傷1,1,小客車,自用,男,34,未戴案全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛人,未注意車前狀態,否,120.489248,22.733474,1914967756800
2022,01,20220101,"62652-11-30 00:00:00",A1,國道公路警察局,"屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側",晴,晨或暮光,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡1;受傷1,4,小客車,自用,女,56,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,車底,,,無(車輛駕駛人因素),尚未發現肇事因素,否,120.489248,22.733474,1914967756800
2022,01,20220101,"62652-11-30 00:00:00",A1,國道公路警察局,"屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側",晴,晨或暮光,國道,110,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡1;受傷1,2,小貨車(含客、貨兩用),自用,男,43,未戴案全帽或未繫安全帶(未使用幼童安全椅),不明,車的狀態,向前直行中,汽車,後車尾,,,無(車輛駕駛人因素),尚未發現肇事因素,否,120.489248,22.733474,1914967756800
2022,01,20220101,"166910-11-30 00:00:00",A1,宜蘭縣政府警察局,"宜蘭縣南澳鄉台9線 117公里900.0公尺處附近",晴,夜間(或隧道、地下道、涵洞)有照明,省道,40,單路部分,隧道,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,單向禁止超車線,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,衝出路外,其他,不明原因肇事,死亡1;受傷0,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.830743,24.490639,5205032409600
2022,01,20220101,"166910-11-30 00:00:00",A1,宜蘭縣政府警察局,"宜蘭縣南澳鄉台9線 117公里900.0公尺處附近",晴,夜間(或隧道、地下道、涵洞)有照明,省道,40,單路部分,隧道,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,單向禁止超車線,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,衝出路外,其他,不明原因肇事,死亡1;受傷0,1,機車,大型重型1(550C.C.以上),男,24,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,其他,不明原因肇事,否,121.830743,24.490639,5205032409600
2022,01,20220101,"193910-11-30 00:00:00",A1,南投縣政府警察局,"南投縣仁愛鄉台14甲線 2公里500.0公尺處",晴,夜間(或隧道、地下道、涵洞)有照明,省道,30,單路部分,直路,其他,其他,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,衝出路外,駕駛人,未注意車前狀態,死亡1;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.143864,24.026000,6057070070400
2022,01,20220101,"193910-11-30 00:00:00",A1,南投縣政府警察局,"南投縣仁愛鄉台14甲線 2公里500.0公尺處",晴,夜間(或隧道、地下道、涵洞)有照明,省道,30,單路部分,直路,其他,其他,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,衝出路外,駕駛人,未注意車前狀態,死亡1;受傷1,1,機車,普通重型,女,18,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,駕駛人,未注意車前狀態,否,121.143864,24.026000,6057070070400
